step,loss,loss_moving_average_10,grad_norm,learning_rate
10,1.2356,nan,0.3671203851699829,6e-06
20,1.1848,nan,0.7822396159172058,1.2666666666666668e-05
30,1.1505,nan,0.6449674963951111,1.9333333333333333e-05
40,1.0751,nan,0.8530431389808655,2.6000000000000002e-05
50,1.0771,nan,0.5492392778396606,3.266666666666667e-05
60,1.0506,nan,0.5327692627906799,3.933333333333333e-05
70,1.0629,nan,0.984032928943634,4.600000000000001e-05
80,1.0422,nan,0.7985668778419495,5.266666666666666e-05
90,1.0406,nan,0.4923972189426422,5.9333333333333343e-05
100,1.0174,1.09368,0.6022033095359802,6.6e-05
110,0.9488,1.0650000000000002,0.7501929998397827,7.266666666666667e-05
120,0.8328,1.0298,1.0794563293457031,7.933333333333334e-05
130,0.7471,0.98946,0.8651279807090759,8.6e-05
140,0.656,0.94755,1.2481341361999512,9.266666666666666e-05
150,0.5588,0.8957200000000001,1.3661422729492188,9.933333333333334e-05
160,0.5042,0.8410800000000002,1.0452238321304321,9.999753945398704e-05
170,0.4553,0.7803200000000001,1.3266470432281494,9.998903417374228e-05
180,0.4261,0.7187100000000001,0.949707567691803,9.997445481536973e-05
190,0.376,0.65225,0.8987104296684265,9.995380315038119e-05
200,0.3682,0.58733,1.2592754364013672,9.99270816881235e-05
210,0.341,0.5265500000000001,0.8464792966842651,9.989429367547377e-05
220,0.3132,0.47459,0.9081242084503174,9.985544309644475e-05
230,0.2828,0.4281600000000001,1.236087679862976,9.98105346717008e-05
240,0.2719,0.3897500000000001,1.230830192565918,9.97595738579843e-05
250,0.2564,0.35951000000000005,0.8648361563682556,9.970256684745258e-05
260,0.2377,0.33286000000000004,1.0938066244125366,9.963952056692549e-05
270,0.2407,0.3114,0.8527001738548279,9.957044267704384e-05
280,0.2164,0.29042999999999997,1.061514973640442,9.949534157133844e-05
290,0.2288,0.27571000000000007,0.9275565147399902,9.941422637521035e-05
300,0.2102,0.25991000000000003,0.9226886034011841,9.932710694482191e-05
310,0.2216,0.24797000000000002,0.7460302710533142,9.923399386589933e-05
320,0.2013,0.23678000000000002,0.8373580574989319,9.913489845244626e-05
330,0.2068,0.22918000000000005,0.7630716562271118,9.902983274536912e-05
340,0.1945,0.22144,0.852240800857544,9.891880951101407e-05
350,0.1643,0.21223,0.9664440751075745,9.880184223961573e-05
360,0.156,0.20406,0.8520293831825256,9.867894514365802e-05
370,0.1466,0.19465000000000002,0.7416682243347168,9.855013315614725e-05
380,0.1329,0.18630000000000002,0.8661218285560608,9.841542192879762e-05
390,0.1317,0.17659000000000002,0.7787224054336548,9.82748278301294e-05
400,0.1182,0.16738999999999998,0.7191320061683655,9.812836794348004e-05
410,0.1261,0.15784000000000004,0.7009545564651489,9.797606006492841e-05
420,0.1185,0.14956000000000003,0.9910510778427124,9.781792270113241e-05
